profile,seed,snr_db,l_value,n_samples,mean_channel_nmse_db,mean_support_recall,mean_dominant_energy_recall,mean_topk_energy_efficiency,mean_clean_topk_energy_fraction,mean_effective_support_95,mean_effective_support_99,mean_delay_support_recall,mean_angle_support_recall,mean_delay_bin_rmse,mean_angle_bin_rmse
C,20260626.0,0.0,8.0,50.0,-8.080929494550585,0.92,0.8355470742194506,0.9974809735338412,0.8376158356739744,24.82,90.32,0.9325,0.9325,0.24956104474803684,0.3386516416286501
C,20260626.0,0.0,16.0,50.0,-10.338507212868837,0.875,0.9139632708028607,0.9933834057629606,0.9200990757876047,24.82,90.32,0.90875,0.89625,2.947317210551477,0.7100525845256488
C,20260626.0,10.0,4.0,50.0,-5.906791467839608,0.995,0.7223515674331717,0.9999758637699486,0.7223728281786508,24.82,90.32,1.0,0.995,0.0,0.02
C,20260626.0,10.0,8.0,50.0,-8.236231225360363,0.9625,0.8373140040378244,0.99963305055431,0.8376158356739744,24.82,90.32,0.9775,0.9625,0.11444842135240464,0.21247334195892484
C,20260626.0,10.0,16.0,50.0,-11.247209548565097,0.96625,0.9198019833662541,0.9996780257200852,0.9200990757876047,24.82,90.32,0.97375,0.96875,0.16486981268414574,0.2576660036173733
C,20260626.0,20.0,4.0,50.0,-5.910866553130071,1.0,0.7223728281786508,1.0,0.7223728281786508,24.82,90.32,1.0,1.0,0.0,0.0
C,20260626.0,20.0,8.0,50.0,-8.255271079160465,0.9925,0.8375983614337404,0.9999803377306403,0.8376158356739744,24.82,90.32,0.9925,0.9925,0.03,0.041462643699419724
C,20260626.0,20.0,16.0,50.0,-11.307302849318942,0.98625,0.9200434522161881,0.9999402439969266,0.9200990757876047,24.82,90.32,0.9875,0.9875,0.0710311462168983,0.10309653771211603
C,20260626.0,30.0,4.0,50.0,-5.911187552194462,1.0,0.7223728281786508,1.0,0.7223728281786508,24.82,90.32,1.0,1.0,0.0,0.0
C,20260626.0,30.0,8.0,50.0,-8.256921108691325,0.995,0.8376081621296096,0.9999910696693238,0.8376158356739744,24.82,90.32,0.995,0.995,0.017071067811865473,0.02414213562373095
C,20260626.0,30.0,16.0,50.0,-11.315111807168016,0.995,0.9200912581572644,0.9999915331984053,0.9200990757876047,24.82,90.32,0.9975,0.995,0.012071067811865475,0.04310221402876377
C,20260627.0,0.0,4.0,50.0,-6.411902857881013,0.945,0.7586251840869146,0.9969035091123252,0.7608673221955123,20.4,73.76,0.98,0.945,0.0623606797749979,0.24382546189725893
C,20260627.0,0.0,8.0,50.0,-8.73620009190428,0.9125,0.8632192765190376,0.9972274462360192,0.8656471898685291,20.4,73.76,0.9275,0.92,0.24524510547748204,0.3653474451388769
C,20260627.0,0.0,16.0,50.0,-11.043495222853826,0.865,0.9291913703156665,0.9939115249228477,0.9349000660342597,20.4,73.76,0.91125,0.88875,3.4262768087088413,0.8057923169984719
C,20260627.0,10.0,4.0,50.0,-6.48476858910022,0.99,0.7607577448561696,0.9998589863685183,0.7608673221955123,20.4,73.76,0.995,0.99,0.01,0.0423606797749979
C,20260627.0,10.0,8.0,50.0,-8.955171639681252,0.96,0.865235531817503,0.9995196972810574,0.8656471898685291,20.4,73.76,0.9725,0.965,0.08071067811865476,0.1742300577298344
C,20260627.0,10.0,16.0,50.0,-12.047693891893827,0.96,0.9345899431105218,0.999669925737772,0.9349000660342597,20.4,73.76,0.9725,0.96,0.1771172613980616,0.27692549651036114
C,20260627.0,20.0,4.0,50.0,-6.490750556585243,1.0,0.7608673221955123,1.0,0.7608673221955123,20.4,73.76,1.0,1.0,0.0,0.0
