profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,delay_bin_rmse,angle_bin_rmse,noise_variance
C,20260626.0,1.0,20.0,16.0,-13.880230187184168,1.0,0.9596706542991928,0.0,0.0,0.010000001298189889
C,20260626.0,2.0,20.0,16.0,-14.957998853729524,0.9375,0.9687616007885461,0.5,0.3535533905932738,0.009999999534684743
C,20260626.0,3.0,20.0,16.0,-14.717653763270711,0.875,0.9667955492409922,0.6123724356957945,0.3535533905932738,0.009999999478268316
C,20260626.0,0.0,30.0,4.0,-9.972791912467398,1.0,0.8993987427150743,0.0,0.0,0.001000000016861005
C,20260626.0,1.0,30.0,4.0,-7.485610213080793,1.0,0.8215939418782764,0.0,0.0,0.001000000129818989
C,20260626.0,2.0,30.0,4.0,-9.393939002679554,1.0,0.8850393860897551,0.0,0.0,0.0009999999534684742
C,20260626.0,3.0,30.0,4.0,-9.275044880080511,0.75,0.8818762044059831,1.0,0.0,0.0009999999478268317
C,20260626.0,0.0,30.0,8.0,-12.120389064582826,1.0,0.9386665104887941,0.0,0.0,0.001000000016861005
C,20260626.0,1.0,30.0,8.0,-10.722268634181905,1.0,0.9153457635727116,0.0,0.0,0.001000000129818989
C,20260626.0,2.0,30.0,8.0,-11.977853387010754,1.0,0.9366114826365858,0.0,0.0,0.0009999999534684742
C,20260626.0,3.0,30.0,8.0,-11.56639191788889,1.0,0.9303472343910408,0.0,0.0,0.0009999999478268317
C,20260626.0,0.0,30.0,16.0,-15.269902458719088,1.0,0.9703437871239587,0.0,0.0,0.001000000016861005
C,20260626.0,1.0,30.0,16.0,-13.938079391140938,1.0,0.9596706542991928,0.0,0.0,0.001000000129818989
C,20260626.0,2.0,30.0,16.0,-15.08582998754065,1.0,0.9690403964224807,0.0,0.0,0.0009999999534684742
C,20260626.0,3.0,30.0,16.0,-14.926625952176165,1.0,0.9679289190796992,0.0,0.0,0.0009999999478268317
C,20260627.0,0.0,0.0,4.0,-8.574522351334176,1.0,0.8893507736255538,0.0,0.0,1.0000001199373678
C,20260627.0,1.0,0.0,4.0,-5.98605056878686,0.5,0.7654239394296655,0.7071067811865476,1.118033988749895,1.0000000354171237
C,20260627.0,2.0,0.0,4.0,-8.351008718925407,0.75,0.8720776288319828,0.7071067811865476,0.5,0.9999999916837312
C,20260627.0,3.0,0.0,4.0,-10.652554797373902,1.0,0.9391192089304247,0.0,0.0,1.0000000324367773
C,20260627.0,0.0,0.0,8.0,-7.175792277900745,0.625,0.8996819602226295,11.096170510586074,0.8660254037844386,1.0000001199373678
C,20260627.0,1.0,0.0,8.0,-7.308184644694496,0.875,0.8801958051618625,8.852965604812887,0.5,1.0000000354171237
C,20260627.0,2.0,0.0,8.0,-6.399132139190921,0.5,0.8744007707128117,13.560051622320618,0.5,0.9999999916837312
C,20260627.0,3.0,0.0,8.0,-8.693420487578166,0.625,0.9483100667491848,14.049021318227117,0.8660254037844386,1.0000000324367773
